,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
212,canvas,27530,Stack Overflow,-8.550619000000001,0.9415121,Computer Science,blue,154,0.7882352941176471,0.6705882352941177
213,silverlight,27526,Stack Overflow,-0.9902804000000001,-3.7825656000000003,Computer Science,blue,155,0.7855614973262033,0.6684491978609626
214,svg,27483,Stack Overflow,3.847657,6.2875805,Computer Science,blue,156,0.7828877005347594,0.6663101604278074
216,logging,27480,Stack Overflow,-0.27066475,4.9903555,Computer Science,blue,157,0.7802139037433156,0.6641711229946525
217,video,27395,Stack Overflow,13.551620000000002,9.3441515,Computer Science,blue,158,0.7775401069518717,0.6620320855614974
218,meteor,27308,Stack Overflow,-7.6832080000000005,-2.6128874,Computer Science,blue,159,0.7748663101604278,0.6598930481283423
219,assembly,27264,Stack Overflow,9.237249,4.250975599999999,Computer Science,blue,160,0.772192513368984,0.6577540106951872
220,matrix,27257,Stack Overflow,11.923275,-0.35850605,Computer Science,blue,161,0.7695187165775401,0.6556149732620321
222,networking,27127,Stack Overflow,-2.99649,-16.042627,Computer Science,blue,162,0.7668449197860963,0.6534759358288771
225,encryption,26311,Stack Overflow,3.7639693999999997,15.866845000000001,Computer Science,blue,163,0.7641711229946524,0.651336898395722
226,memory,26303,Stack Overflow,6.4271736,-5.3746057,Computer Science,blue,164,0.7614973262032085,0.6491978609625668
227,xpath,26140,Stack Overflow,-0.25182889999999997,6.292524299999999,Computer Science,blue,165,0.7588235294117647,0.6470588235294118
228,iframe,26112,Stack Overflow,0.68747854,-6.2689443,Computer Science,blue,166,0.7561497326203208,0.6449197860962568
231,razor,25930,Stack Overflow,-7.822588400000001,-0.5505220999999999,Computer Science,blue,167,0.753475935828877,0.6427807486631016
232,cookies,25847,Stack Overflow,-5.8501916,0.49726903,Computer Science,blue,168,0.7508021390374331,0.6406417112299465
233,web,25724,Stack Overflow,-2.5748568,13.307424,Computer Science,blue,169,0.7481283422459892,0.6385026737967914
235,optimization,25514,Stack Overflow,10.707439,3.1058664,Computer Science,blue,170,0.7454545454545454,0.6363636363636365
237,svn,25315,Stack Overflow,0.08146175,-3.508948,Computer Science,blue,171,0.7427807486631015,0.6342245989304813
238,design-patterns,25190,Stack Overflow,-1.359591,-7.5983787,Computer Science,blue,172,0.7401069518716579,0.6320855614973262
242,core-data,24962,Stack Overflow,-2.9487037999999997,-6.979302400000001,Computer Science,blue,173,0.737433155080214,0.6299465240641712
