,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
225,encryption,26311,Stack Overflow,71.65057,32.472355,-77.78899399999999,Computer Science,blue,163,0.7641711229946524,0.651336898395722
226,memory,26303,Stack Overflow,-96.572395,42.49155,-5.2810825999999995,Computer Science,blue,164,0.7614973262032085,0.6491978609625668
227,xpath,26140,Stack Overflow,1.3006855,67.24134000000001,-12.893112,Computer Science,blue,165,0.7588235294117647,0.6470588235294118
228,iframe,26112,Stack Overflow,-59.531025,-40.31123,-1.9535040000000001,Computer Science,blue,166,0.7561497326203208,0.6449197860962568
231,razor,25930,Stack Overflow,35.685284,33.623936,64.500786,Computer Science,blue,167,0.753475935828877,0.6427807486631016
232,cookies,25847,Stack Overflow,-20.315994,125.72962,48.4256,Computer Science,blue,168,0.7508021390374331,0.6406417112299465
233,web,25724,Stack Overflow,118.47498999999999,115.86055,39.173836,Computer Science,blue,169,0.7481283422459892,0.6385026737967914
235,optimization,25514,Stack Overflow,57.30838000000001,-19.960194,136.18118,Computer Science,blue,170,0.7454545454545454,0.6363636363636365
237,svn,25315,Stack Overflow,155.20248,8.499115,56.51119,Computer Science,blue,171,0.7427807486631015,0.6342245989304813
238,design-patterns,25190,Stack Overflow,-7.4493217000000005,90.48886,23.578625,Computer Science,blue,172,0.7401069518716579,0.6320855614973262
242,core-data,24962,Stack Overflow,131.09428,40.832867,69.875114,Computer Science,blue,173,0.737433155080214,0.6299465240641712
244,serialization,24837,Stack Overflow,130.74611000000002,-51.982693,33.178837,Computer Science,blue,174,0.7347593582887701,0.627807486631016
245,model-view-controller,24789,Stack Overflow,85.75572,11.626237,-28.07157,Computer Science,blue,175,0.7320855614973263,0.625668449197861
246,arraylist,24668,Stack Overflow,-13.330739999999999,58.478069999999995,87.26909,Computer Science,blue,176,0.7294117647058824,0.6235294117647059
247,gridview,24663,Stack Overflow,113.65648,81.29992,-35.3007,Computer Science,blue,177,0.7267379679144386,0.6213903743315509
248,jdbc,24625,Stack Overflow,-134.47691,-29.984365000000004,10.421586,Computer Science,blue,178,0.7240641711229947,0.6192513368983958
249,javafx,24399,Stack Overflow,-25.22963,-14.108717,48.898598,Computer Science,blue,179,0.7213903743315508,0.6171122994652407
250,flex,24303,Stack Overflow,2.8462124,62.987246999999996,49.39365,Computer Science,blue,180,0.718716577540107,0.6149732620320856
252,vector,23940,Stack Overflow,-35.979565,-3.3211720000000002,-132.80608,Computer Science,blue,181,0.7160427807486631,0.6128342245989304
254,checkbox,23724,Stack Overflow,-57.61055,-75.42044,-11.072871000000001,Computer Science,blue,182,0.7133689839572193,0.6106951871657755
256,mobile,23405,Stack Overflow,151.45203,75.887566,-10.658499,Computer Science,blue,183,0.7106951871657754,0.6085561497326204
257,random,23311,Stack Overflow,-34.86065,-107.779106,-77.23286999999999,Computer Science,blue,184,0.7080213903743315,0.6064171122994653
258,soap,23251,Stack Overflow,-64.97053000000001,135.33926,69.69823000000001,Computer Science,blue,185,0.7053475935828877,0.6042780748663102
259,sharepoint,23102,Stack Overflow,-15.2436905,-169.30751,11.932984,Computer Science,blue,186,0.7026737967914438,0.6021390374331551
263,extjs,22612,Stack Overflow,56.281742,-49.968643,-81.44171,Computer Science,blue,187,0.7,0.6
265,vim,22569,Stack Overflow,-37.616528,-42.806999999999995,71.923416,Computer Science,blue,188,0.6973262032085561,0.597860962566845
266,text,22428,Stack Overflow,-30.843560999999998,14.767579999999999,-172.07224,Computer Science,blue,189,0.6946524064171122,0.5957219251336898
267,plot,22349,Stack Overflow,-38.020053999999995,35.441795,-48.84127,Computer Science,blue,190,0.6919786096256685,0.5935828877005348
269,input,22323,Stack Overflow,75.964325,87.48382600000001,37.269184,Computer Science,blue,191,0.6893048128342246,0.5914438502673798
270,machine-learning,22098,Stack Overflow,-71.628716,4.4301105000000005,18.43597,Computer Science,blue,192,0.6866310160427808,0.5893048128342246
271,layout,22073,Stack Overflow,11.516786999999999,47.934677,133.477,Computer Science,blue,193,0.6839572192513369,0.5871657754010695
273,boost,21979,Stack Overflow,-110.69001999999999,-46.7332,-68.1411,Computer Science,blue,194,0.681283422459893,0.5850267379679144
